,0,1,2,3,4,5,6
48201,0.7855739762999999,0.390162844,0.6882793026,0.9330592514,0.14641954599999998,0.0451214093,0.1654636286
1167,0.6361571324,0.5297903429999999,0.8079673727,0.930264148,0.1135062167,0.0323259466,0.229632792
6608,0.8286968625,0.6008829686,0.7786265237000001,0.2914325662,0.19215582260000003,0.5464125653999999,0.7269837212000001
11374,0.9956428726000001,0.3389888407,0.0393108085,0.9229223492,0.0946109958,0.0456470734,0.14006096369999999
29833,0.2471474914,0.6179831852000001,0.7253549813,0.9627199475,0.110193575,0.0523590927,0.5562955799
91212,0.0077028655,0.7802133872,0.6584863336,0.8140795193000001,0.056570029400000006,0.0512984518,0.8710949188
3770,0.9276261436,0.34256381210000003,0.0946895207,0.8769725748999999,0.1194164618,0.0281637143,0.4972583891
13563,0.7392006497,0.4878150643,0.4831012207,0.9540361167,0.1289365773,0.0348835981,0.5330434382
13205,0.0132865501,0.5336786178,0.8016526631,0.1290556749,0.2454889285,0.0356546528,0.4349299658
4779,0.8974272507,0.4973017783,0.5037427343,0.6452710304,0.1889959239,0.0413309501,0.6181105404999999
